1. ¿Cuál es tu rol en tu centro de estudios?,2. ¿A qué área de estudio perteneces? ,3. ¿Qué edad tienes?  ,4. ¿Con qué frecuencia utilizas herramientas tecnológicas en tus actividades académicas?  ,6. ¿Con qué frecuencia usas herramientas de IA en tus actividades académicas? ,8. ¿Qué nivel de conocimiento técnico tienes sobre inteligencia artificial? ,9. ¿Crees que las herramientas de IA pueden mejorar tu productividad en tareas académicas? ,10. ¿Consideras que la IA es útil para personalizar tu aprendizaje o enseñanza según tus necesidades específicas? ,11. ¿Piensas que las herramientas de IA pueden ayudarte a resolver problemas complejos de manera más eficiente?  ,12.  ¿Qué tan sencillo te resulta aprender a utilizar herramientas de IA? ,13. ¿Crees que las herramientas de IA están diseñadas de manera intuitiva para un uso eficiente? ,15. ¿Estás dispuesto a incorporar herramientas de IA en tus actividades diarias?  ,16. ¿Recomendarías el uso de herramientas de IA a tus compañeros o colegas?  ,17. ¿Consideras que las herramientas de IA serán esenciales en el futuro de la educación universitaria? ,18. ¿Cuánto tiempo dedicas al uso de herramientas de IA semanalmente? ,19. ¿Qué porcentaje de tus actividades académicas dependen actualmente de herramientas de IA? 
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Diariamente,Alto,5,5,5,4,4,5,5,5,Entre 1 y 5 horas.,Más del 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Varias veces por semana,Varias veces por semana,Alto,5,5,5,5,5,5,5,5,Entre 1 y 5 horas.,Más del 50%
Estudiante de Grado,"Ciencias Sociales (e.g., Sociología, Psicología, Economía)",Menos de 20 años,Diariamente,Diariamente,Alto,5,4,5,4,4,4,4,5,Entre 1 y 5 horas.,Más del 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Varias veces por semana,Varias veces por semana,Alto,5,5,4,4,3,5,5,5,Menos de 1 hora.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Diariamente,Alto,5,5,4,4,4,5,4,4,Entre 1 y 5 horas.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Diariamente,Muy bajo,3,3,3,5,5,5,5,5,Más de 5 horas.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Varias veces por semana,Medio,5,5,5,4,4,5,5,5,Menos de 1 hora.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Varias veces por semana,Varias veces por semana,Medio,5,5,4,4,4,4,4,5,Entre 1 y 5 horas.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Diariamente,Medio,5,3,5,4,4,4,4,5,Entre 1 y 5 horas.,Entre el 10% y el 50%
Estudiante de Grado,"Ciencias Exactas (e.g., Matemáticas, Ingeniería, Física)",Entre 20 y 30 años,Diariamente,Diariamente,Medio,5,3,5,5,5,5,5,5,Más de 5 horas.,Más del 50%
